"uniqueid","path","text_body","answer_type","question_type","mark_scheme","needs_context","exam","subject","section","topic","order","marks","parent_id","is_root","reference_code","subtopic","level","paper","command_term"
"bio2025_3764209","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.5. Evidence for several origins of viruses from other organisms","<p>Discuss the evidence provided by viral structure and function that suggests they evolved from living organisms.Â  Â </p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>complexity in structure/ big size of some viruses evidence evolution from bacteria that lost cell components/functions;</li>
<li>e.g. they might have evolved from a kind of parasitic bacteria that can only replicate inside a host;</li>
<li>retroviruses/ some viruses and some eukaryotic cells have similar mechanisms for the synthesis of DNA from RNA/ contain reverse transcriptases;</li>
<li>suggesting genetic material moved out of cells and evolved into viruses;</li>
<li>they are obligate parasites/, so they could not exist before living cells;</li>
<li>all living organisms share same genetic material from universal common ancestor/LUCA, so viruses having similar genetic material must have evolved from cells;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1c","4","","FALSE","EXEX.1B.HL.TZ0.1c","A2.3.5. Evidence for several origins of viruses from other organisms","hl","1B","Discuss"
"bio2025_9056761","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.5. Evidence for several origins of viruses from other organisms","<p>Discuss the evidence provided by viral structure and function that suggests they evolved from living organisms.Â  Â </p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>complexity in structure/ big size of some viruses evidence evolution from bacteria that lost cell components/functions;</li>
<li>e.g. they might have evolved from a kind of parasitic bacteria that can only replicate inside a host;</li>
<li>retroviruses/ some viruses and some eukaryotic cells have similar mechanisms for the synthesis of DNA from RNA/ contain reverse transcriptases;</li>
<li>suggesting genetic material moved out of cells and evolved into viruses;</li>
<li>they are obligate parasites/, so they could not exist before living cells;</li>
<li>all living organisms share same genetic material from universal common ancestor/LUCA, so viruses having similar genetic material must have evolved from cells;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1c","4","","FALSE","EXEX.1B.HL.TZ0.1c","A2.3.5. Evidence for several origins of viruses from other organisms","hl","1B","Discuss"
"bio2025_9056803","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.5. Evidence for several origins of viruses from other organisms","<p>Discuss the evidence provided by viral structure and function that suggests they evolved from living organisms.Â  Â </p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>complexity in structure/ big size of some viruses evidence evolution from bacteria that lost cell components/functions;</li>
<li>e.g. they might have evolved from a kind of parasitic bacteria that can only replicate inside a host;</li>
<li>retroviruses/ some viruses and some eukaryotic cells have similar mechanisms for the synthesis of DNA from RNA/ contain reverse transcriptases;</li>
<li>suggesting genetic material moved out of cells and evolved into viruses;</li>
<li>they are obligate parasites/, so they could not exist before living cells;</li>
<li>all living organisms share same genetic material from universal common ancestor/LUCA, so viruses having similar genetic material must have evolved from cells;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1c","4","","FALSE","EXEX.1B.HL.TZ0.1c","A2.3.5. Evidence for several origins of viruses from other organisms","hl","1B","Discuss"
"bio2025_9066119","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.5. Evidence for several origins of viruses from other organisms","<p>Discuss the evidence provided by viral structure and function that suggests they evolved from living organisms.Â  Â </p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>complexity in structure/ big size of some viruses evidence evolution from bacteria that lost cell components/functions;</li>
<li>e.g. they might have evolved from a kind of parasitic bacteria that can only replicate inside a host;</li>
<li>retroviruses/ some viruses and some eukaryotic cells have similar mechanisms for the synthesis of DNA from RNA/ contain reverse transcriptases;</li>
<li>suggesting genetic material moved out of cells and evolved into viruses;</li>
<li>they are obligate parasites/, so they could not exist before living cells;</li>
<li>all living organisms share same genetic material from universal common ancestor/LUCA, so viruses having similar genetic material must have evolved from cells;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1c","4","","FALSE","EXEX.1B.HL.TZ0.1c","A2.3.5. Evidence for several origins of viruses from other organisms","hl","1B","Discuss"
"bio2025_9066124","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.5. Evidence for several origins of viruses from other organisms","<p>Discuss the evidence provided by viral structure and function that suggests they evolved from living organisms.Â  Â </p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>complexity in structure/ big size of some viruses evidence evolution from bacteria that lost cell components/functions;</li>
<li>e.g. they might have evolved from a kind of parasitic bacteria that can only replicate inside a host;</li>
<li>retroviruses/ some viruses and some eukaryotic cells have similar mechanisms for the synthesis of DNA from RNA/ contain reverse transcriptases;</li>
<li>suggesting genetic material moved out of cells and evolved into viruses;</li>
<li>they are obligate parasites/, so they could not exist before living cells;</li>
<li>all living organisms share same genetic material from universal common ancestor/LUCA, so viruses having similar genetic material must have evolved from cells;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","c","4","","FALSE","EXEX.1B.HL.TZ0.c","A2.3.5. Evidence for several origins of viruses from other organisms","hl","1B","Discuss"
"bio2025_5315123","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2a","2","","FALSE","EXEX.2.HL.TZ0.2a","A4.2.5. Evidence for a biodiversity crisis","hl","2","List"
"bio2025_5372773","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1a","2","","FALSE","EXEX.2.SL.TZ0.1a","A4.2.5. Evidence for a biodiversity crisis","sl","2","List"
"bio2025_9056770","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2a","2","","FALSE","EXEX.2.HL.TZ0.2a","A4.2.5. Evidence for a biodiversity crisis","hl","2","List"
"bio2025_9056783","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1a","2","","FALSE","EXEX.2.SL.TZ0.1a","A4.2.5. Evidence for a biodiversity crisis","sl","2","List"
"bio2025_9056812","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2a","2","","FALSE","EXEX.2.HL.TZ0.2a","A4.2.5. Evidence for a biodiversity crisis","hl","2","List"
"bio2025_9056825","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1a","2","","FALSE","EXEX.2.SL.TZ0.1a","A4.2.5. Evidence for a biodiversity crisis","sl","2","List"
"bio2025_9066138","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2a","2","","FALSE","EXEX.2.HL.TZ0.2a","A4.2.5. Evidence for a biodiversity crisis","hl","2","List"
"bio2025_9066141","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","a","2","","FALSE","EXEX.2.HL.TZ0.a","A4.2.5. Evidence for a biodiversity crisis","hl","2","List"
"bio2025_9066160","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1a","2","","FALSE","EXEX.2.SL.TZ0.1a","A4.2.5. Evidence for a biodiversity crisis","sl","2","List"
"bio2025_9066163","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.5. Evidence for a biodiversity crisis","<p>List two variables, other than species richness, that can be monitored over time to provide evidence of biodiversity loss in dipterocarp forests.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>area occupied by forest<br/><strong>OR</strong><br/> area of forest that has been lost; Â </li>
<li>population size/number of individuals of each species/evenness;Â  Â </li>
<li>range of a species <br/><strong>OR</strong> <br/>the area over which a species is found; Â </li>
<li>number of threatened species;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","a","2","","FALSE","EXEX.2.SL.TZ0.a","A4.2.5. Evidence for a biodiversity crisis","sl","2","List"
"bio2025_5315124","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2b","2","","FALSE","EXEX.2.HL.TZ0.2b","A4.2.4. Causes of ecosystem loss","hl","2","Outline"
"bio2025_5372774","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1b","2","","FALSE","EXEX.2.SL.TZ0.1b","A4.2.4. Causes of ecosystem loss","sl","2","Outline"
"bio2025_9056771","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2b","2","","FALSE","EXEX.2.HL.TZ0.2b","A4.2.4. Causes of ecosystem loss","hl","2","Outline"
"bio2025_9056784","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1b","2","","FALSE","EXEX.2.SL.TZ0.1b","A4.2.4. Causes of ecosystem loss","sl","2","Outline"
"bio2025_9056813","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2b","2","","FALSE","EXEX.2.HL.TZ0.2b","A4.2.4. Causes of ecosystem loss","hl","2","Outline"
"bio2025_9056826","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1b","2","","FALSE","EXEX.2.SL.TZ0.1b","A4.2.4. Causes of ecosystem loss","sl","2","Outline"
"bio2025_9066139","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","2b","2","","FALSE","EXEX.2.HL.TZ0.2b","A4.2.4. Causes of ecosystem loss","hl","2","Outline"
"bio2025_9066142","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","b","2","","FALSE","EXEX.2.HL.TZ0.b","A4.2.4. Causes of ecosystem loss","hl","2","Outline"
"bio2025_9066161","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","1b","2","","FALSE","EXEX.2.SL.TZ0.1b","A4.2.4. Causes of ecosystem loss","sl","2","Outline"
"bio2025_9066164","A. Unity and diversity > A4.2. Conservation of biodiversity > A4.2.4. Causes of ecosystem loss","<p>Outline the reason for the loss of dipterocarp forest ecosystems in South Asia.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>anthropogenic reasons / human activities / logging / removal of trees;</li>
<li>to sell timber / grow crops / for plantations / agriculture;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A4.2. Conservation of biodiversity","b","2","","FALSE","EXEX.2.SL.TZ0.b","A4.2.4. Causes of ecosystem loss","sl","2","Outline"
"bio2025_5315689","A. Unity and diversity > A2.2. Cell structure > A2.2.3. Developments in microscopy","<p>State a development in electron microscopy that has improved the study of cell ultrastructure.</p>","structured","SFA","<p>freeze-fracture/cryogenic electron microscopy/fluorescent stains/ immunofluorescence;</p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","3c","1","","FALSE","EXEX.2.HL.TZ0.3c","A2.2.3. Developments in microscopy","hl","2","State"
"bio2025_9056776","A. Unity and diversity > A2.2. Cell structure > A2.2.3. Developments in microscopy","<p>State a development in electron microscopy that has improved the study of cell ultrastructure.</p>","structured","SFA","<p>freeze-fracture/cryogenic electron microscopy/fluorescent stains/ immunofluorescence;</p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","3c","1","","FALSE","EXEX.2.HL.TZ0.3c","A2.2.3. Developments in microscopy","hl","2","State"
"bio2025_9056818","A. Unity and diversity > A2.2. Cell structure > A2.2.3. Developments in microscopy","<p>State a development in electron microscopy that has improved the study of cell ultrastructure.</p>","structured","SFA","<p>freeze-fracture/cryogenic electron microscopy/fluorescent stains/ immunofluorescence;</p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","3c","1","","FALSE","EXEX.2.HL.TZ0.3c","A2.2.3. Developments in microscopy","hl","2","State"
"bio2025_9066147","A. Unity and diversity > A2.2. Cell structure > A2.2.3. Developments in microscopy","<p>State a development in electron microscopy that has improved the study of cell ultrastructure.</p>","structured","SFA","<p>freeze-fracture/cryogenic electron microscopy/fluorescent stains/ immunofluorescence;</p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","3c","1","","FALSE","EXEX.2.HL.TZ0.3c","A2.2.3. Developments in microscopy","hl","2","State"
